component_name	component_version	package_or_native_component	upstream_source	license_expression	selected_license_branch	authoritative_private_license_path	public_legal_file_path	legal_file_sha256	notice_path	artifacts	distribution_kind	inclusion_reason	exclusion_reason	verification_status
futures-io	0.3.34	rust-package	https://crates.io/crates/futures-io/0.3.34	MIT OR Apache-2.0	MIT	licenses/futures-io-0.3.34-LICENSE-MIT-MIT-734611ec21-6652c868f35d.txt	licenses/futures-core-0.3.34-LICENSE-MIT-MIT-80d5060481-6652c868f35d.txt	6652c868f35dfe5e8ef636810a4e576b9d663f3a17fb0f5613ad73583e1b88fd		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_preflight-> mcraw4vulkan-preflight@0.1.0 -normal:notify_rust-> notify-rust@4.17.0 -normal:futures_lite-> futures-lite@2.6.1 -normal:futures_io-> futures-io@0.3.34. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
futures-lite	2.6.1	rust-package	https://crates.io/crates/futures-lite/2.6.1	Apache-2.0 OR MIT	MIT	licenses/futures-lite-2.6.1-LICENSE-MIT-MIT-e0c6e8803d-23f18e03dc49.txt	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_preflight-> mcraw4vulkan-preflight@0.1.0 -normal:notify_rust-> notify-rust@4.17.0 -normal:futures_lite-> futures-lite@2.6.1. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
futures-lite	2.6.1	rust-package	https://crates.io/crates/futures-lite/2.6.1	Apache-2.0 OR MIT	MIT	licenses/futures-lite-2.6.1-LICENSE-THIRD-PARTY-MIT-b082cc7f0c-6226d0632e2e.txt	licenses/atomic-waker-1.1.2-LICENSE-THIRD-PARTY-MIT-a3bb2ae02a-6226d0632e2e.txt	6226d0632e2e1a80c23597e964da9812ae193c535fe058154afb034e94167aa5		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_preflight-> mcraw4vulkan-preflight@0.1.0 -normal:notify_rust-> notify-rust@4.17.0 -normal:futures_lite-> futures-lite@2.6.1. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
futures-task	0.3.32	rust-package	https://crates.io/crates/futures-task/0.3.32	MIT OR Apache-2.0	NOT_SELECTED						TARGET_NOT_APPLICABLE		Locked for another target/optional graph but unreachable from production or dev roots on the four audited release targets. License expression verified from locally cached exact crate source futures-task-0.3.32.	PASS
futures-util	0.3.32	rust-package	https://crates.io/crates/futures-util/0.3.32	MIT OR Apache-2.0	NOT_SELECTED						TARGET_NOT_APPLICABLE		Locked for another target/optional graph but unreachable from production or dev roots on the four audited release targets. License expression verified from locally cached exact crate source futures-util-0.3.32.	PASS
getrandom	0.4.3	rust-package	https://crates.io/crates/getrandom/0.4.3	MIT OR Apache-2.0	MIT	licenses/getrandom-0.4.3-LICENSE-MIT-MIT-66f29eaf87-523a42c25d24.txt	licenses/getrandom-0.4.3-LICENSE-MIT-MIT-66f29eaf87-523a42c25d24.txt	523a42c25d245dde9c015f882cec7f4555aad883382a6cf19b4b7d9b2cd5419b		macos-universal	TARGET_LINKED_RUNTIME	Effective target-unit closure from cargo tree --edges normal,no-proc-macro retains this package for exactly: macos-universal. Inactive optional, proc-macro, and build-only edges are excluded.		PASS
gl_generator	0.14.0	rust-package	https://crates.io/crates/gl_generator/0.14.0	Apache-2.0	Apache-2.0	licenses/gl_generator-0.14.0-LICENSE-Apache-2_0-33bdcf7e06-cfc7749b96f6.txt	licenses/gl_generator-0.14.0-LICENSE-Apache-2_0-33bdcf7e06-cfc7749b96f6.txt	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30		windows-x64	TARGET_EMBEDDED_GENERATED_MATERIAL	Generated-material proof: glutin_wgl_sys-0.6.1/build.rs produces wgl_bindings.rs;wgl_extra_bindings.rs; target inclusion: glutin_wgl_sys-0.6.1/src/lib.rs include!(OUT_DIR/...); evidence: glutin_wgl_sys build.rs invokes Registry::write_bindings; gl_generator templates and registry-derived output are compiled through include!.		PASS
glow	0.16.0	rust-package	https://crates.io/crates/glow/0.16.0	MIT OR Apache-2.0 OR Zlib	MIT	licenses/glow-0.16.0-LICENSE-MIT-MIT-4e574998aa-cdbd06e25b8c.txt	licenses/glow-0.16.0-LICENSE-MIT-MIT-4e574998aa-cdbd06e25b8c.txt	cdbd06e25b8c9c5d6019949d2de8123f56d29cee4166396423d2ba8c81700845		arch-x86_64,el10-x86_64,fedora44-x86_64,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Effective target-unit closure from cargo tree --edges normal,no-proc-macro retains this package for exactly: arch-x86_64,el10-x86_64,fedora44-x86_64,ubuntu-amd64,windows-x64. Inactive optional, proc-macro, and build-only edges are excluded.		PASS
glutin_wgl_sys	0.6.1	rust-package	https://crates.io/crates/glutin_wgl_sys/0.6.1	Apache-2.0	Apache-2.0	licenses/glutin_wgl_sys-0.6.1-LICENSE-Apache-2_0-2a74091902-a44454274400.txt	licenses/glutin_wgl_sys-0.6.1-LICENSE-Apache-2_0-2a74091902-a44454274400.txt	a4445427440043e8ce6fadf7a43fb906cb0d7f6c573a560a9f142cf9f9bf8ff4		windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_display-> mcraw4vulkan-display@0.1.0 -normal:wgpu-> wgpu@24.0.5 -normal:hal-> wgpu-hal@24.0.4 -normal:glutin_wgl_sys-> glutin_wgl_sys@0.6.1. Observed unit contexts: HOST_BUILD_SCRIPT,TARGET_LINKED_RUNTIME.		PASS
gpu-alloc	0.6.2	rust-package	https://crates.io/crates/gpu-alloc/0.6.2	MIT OR Apache-2.0	Apache-2.0	licenses/gpu-alloc-0.6.2-Apache-2.0.txt-Apache-2_0-3ac6882286-074e6e32c86a.txt	licenses/dispatch2-0.3.1-Apache-2.0.txt-Apache-2_0-3ac6882286-074e6e32c86a.txt	074e6e32c86a4c0ef8b3ed25b721ca23aca83df277cd88106ef7177c354615ff		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_display-> mcraw4vulkan-display@0.1.0 -normal:wgpu-> wgpu@24.0.5 -normal:hal-> wgpu-hal@24.0.4 -normal:gpu_alloc-> gpu-alloc@0.6.2. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
gpu-alloc	0.6.2	rust-package	https://crates.io/crates/gpu-alloc/0.6.2	MIT OR Apache-2.0	Apache-2.0	licenses/gpu-alloc-0.6.2-COPYING-NOTICE-e3144c2665-12121dfa5886.txt	licenses/gpu-alloc-0.6.2-COPYING-NOTICE-e3144c2665-12121dfa5886.txt	12121dfa588677007848ab922a45a1e3248868f6ff063598fceb3141d7897314	licenses/gpu-alloc-0.6.2-COPYING-NOTICE-e3144c2665-12121dfa5886.txt	arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_display-> mcraw4vulkan-display@0.1.0 -normal:wgpu-> wgpu@24.0.5 -normal:hal-> wgpu-hal@24.0.4 -normal:gpu_alloc-> gpu-alloc@0.6.2. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
gpu-alloc-types	0.3.1	rust-package	https://crates.io/crates/gpu-alloc-types/0.3.1	MIT OR Apache-2.0	Apache-2.0	licenses/gpu-alloc-types-0.3.1-Apache-2.0.txt-Apache-2_0-3ac6882286-074e6e32c86a.txt	licenses/dispatch2-0.3.1-Apache-2.0.txt-Apache-2_0-3ac6882286-074e6e32c86a.txt	074e6e32c86a4c0ef8b3ed25b721ca23aca83df277cd88106ef7177c354615ff		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_display-> mcraw4vulkan-display@0.1.0 -normal:wgpu-> wgpu@24.0.5 -normal:hal-> wgpu-hal@24.0.4 -normal:gpu_alloc-> gpu-alloc@0.6.2 -normal:gpu_alloc_types-> gpu-alloc-types@0.3.1. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
gpu-alloc-types	0.3.1	rust-package	https://crates.io/crates/gpu-alloc-types/0.3.1	MIT OR Apache-2.0	Apache-2.0	licenses/gpu-alloc-types-0.3.1-COPYING-NOTICE-67350e45f0-12121dfa5886.txt	licenses/gpu-alloc-0.6.2-COPYING-NOTICE-e3144c2665-12121dfa5886.txt	12121dfa588677007848ab922a45a1e3248868f6ff063598fceb3141d7897314	licenses/gpu-alloc-0.6.2-COPYING-NOTICE-e3144c2665-12121dfa5886.txt	arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_display-> mcraw4vulkan-display@0.1.0 -normal:wgpu-> wgpu@24.0.5 -normal:hal-> wgpu-hal@24.0.4 -normal:gpu_alloc-> gpu-alloc@0.6.2 -normal:gpu_alloc_types-> gpu-alloc-types@0.3.1. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
gpu-descriptor	0.3.2	rust-package	https://crates.io/crates/gpu-descriptor/0.3.2	MIT OR Apache-2.0	Apache-2.0	licenses/gpu-descriptor-0.3.2-COPYING-Apache-2_0-365682360f-f72143f7e9d9.txt	licenses/gpu-descriptor-0.3.2-COPYING-Apache-2_0-365682360f-f72143f7e9d9.txt	f72143f7e9d9fb8bd336b139fa22f825a299591c29f2f7338c5566347b137613		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_display-> mcraw4vulkan-display@0.1.0 -normal:wgpu-> wgpu@24.0.5 -normal:hal-> wgpu-hal@24.0.4 -normal:gpu_descriptor-> gpu-descriptor@0.3.2. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
gpu-descriptor-types	0.2.0	rust-package	https://crates.io/crates/gpu-descriptor-types/0.2.0	MIT OR Apache-2.0	Apache-2.0	licenses/gpu-descriptor-types-0.2.0-COPYING-Apache-2_0-3bc9d214bf-f72143f7e9d9.txt	licenses/gpu-descriptor-0.3.2-COPYING-Apache-2_0-365682360f-f72143f7e9d9.txt	f72143f7e9d9fb8bd336b139fa22f825a299591c29f2f7338c5566347b137613		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_display-> mcraw4vulkan-display@0.1.0 -normal:wgpu-> wgpu@24.0.5 -normal:hal-> wgpu-hal@24.0.4 -normal:gpu_descriptor-> gpu-descriptor@0.3.2 -normal:gpu_descriptor_types-> gpu-descriptor-types@0.2.0. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
hashbrown	0.15.5	rust-package	https://crates.io/crates/hashbrown/0.15.5	MIT OR Apache-2.0	MIT	licenses/hashbrown-0.15.5-LICENSE-MIT-MIT-1c0ece5023-ff8f68cb076c.txt	licenses/hashbrown-0.15.5-LICENSE-MIT-MIT-1c0ece5023-ff8f68cb076c.txt	ff8f68cb076caf8cefe7a6430d4ac086ce6af2ca8ce2c4e5a2004d4552ef52a2		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_display-> mcraw4vulkan-display@0.1.0 -normal:wgpu-> wgpu@24.0.5 -normal:hal-> wgpu-hal@24.0.4 -normal:gpu_descriptor-> gpu-descriptor@0.3.2 -normal:hashbrown-> hashbrown@0.15.5. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
hashbrown	0.17.1	rust-package	https://crates.io/crates/hashbrown/0.17.1	MIT OR Apache-2.0	MIT	licenses/hashbrown-0.17.1-LICENSE-MIT-MIT-8e1014c9cf-ff8f68cb076c.txt	licenses/hashbrown-0.15.5-LICENSE-MIT-MIT-1c0ece5023-ff8f68cb076c.txt	ff8f68cb076caf8cefe7a6430d4ac086ce6af2ca8ce2c4e5a2004d4552ef52a2		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_display-> mcraw4vulkan-display@0.1.0 -normal:wgpu-> wgpu@24.0.5 -normal:hal-> wgpu-hal@24.0.4 -normal:naga-> naga@24.0.0 -normal:indexmap-> indexmap@2.14.0 -normal:hashbrown-> hashbrown@0.17.1. Observed unit contexts: HOST_BUILD_DEPENDENCY,HOST_PROC_MACRO_SUPPORT,TARGET_LINKED_RUNTIME.		PASS
heck	0.5.0	rust-package	https://crates.io/crates/heck/0.5.0	MIT OR Apache-2.0	NOT_SELECTED						HOST_PROC_MACRO_SUPPORT		Host-only compilation-unit proof: mcraw4vulkan -normal:mcraw4vulkan_display-> mcraw4vulkan-display@0.1.0 -normal:wgpu-> wgpu@24.0.5 -normal:hal-> wgpu-hal@24.0.4 -normal:naga-> naga@24.0.0 -normal:strum-> strum@0.26.3 -normal:strum_macros-> strum_macros@0.26.4 -normal:heck-> heck@0.5.0. No independent target unit or generated-material proof.	PASS
hermit-abi	0.5.2	rust-package	https://crates.io/crates/hermit-abi/0.5.2	MIT OR Apache-2.0	NOT_SELECTED						TARGET_NOT_APPLICABLE		Locked for another target/optional graph but unreachable from production or dev roots on the four audited release targets. License expression verified from locally cached exact crate source hermit-abi-0.5.2.	PASS
hex	0.4.3	rust-package	https://crates.io/crates/hex/0.4.3	MIT OR Apache-2.0	MIT	licenses/hex-0.4.3-LICENSE-MIT-MIT-0b04cc54c0-f7bdb3426d04.txt	licenses/hex-0.4.3-LICENSE-MIT-MIT-0b04cc54c0-f7bdb3426d04.txt	f7bdb3426d045cd50efd4953026e3eb5a83d0199f458a075602611b9344da5b9		arch-x86_64,el10-x86_64,fedora44-x86_64,ubuntu-amd64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_preflight-> mcraw4vulkan-preflight@0.1.0 -normal:notify_rust-> notify-rust@4.17.0 -normal:zbus-> zbus@5.19.0 -normal:hex-> hex@0.4.3. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
hexf-parse	0.2.1	rust-package	https://crates.io/crates/hexf-parse/0.2.1	CC0-1.0	CC0-1.0	licenses/hexf-parse-0.2.1-CC0-1.0.txt-CC0-1_0-846e6aea5e-a2010f343487.txt	licenses/hexf-parse-0.2.1-CC0-1.0.txt-CC0-1_0-846e6aea5e-a2010f343487.txt	a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_display-> mcraw4vulkan-display@0.1.0 -normal:wgpu-> wgpu@24.0.5 -normal:hal-> wgpu-hal@24.0.4 -normal:naga-> naga@24.0.0 -normal:hexf_parse-> hexf-parse@0.2.1. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
indexmap	2.14.0	rust-package	https://crates.io/crates/indexmap/2.14.0	Apache-2.0 OR MIT	MIT	licenses/indexmap-2.14.0-LICENSE-MIT-MIT-a01eaf0f42-ecc269ef87fd.txt	licenses/indexmap-2.14.0-LICENSE-MIT-MIT-a01eaf0f42-ecc269ef87fd.txt	ecc269ef87fd38a1d98e30bfac9ba964a9dbd9315c3770fed98d4d7cb5882055		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_display-> mcraw4vulkan-display@0.1.0 -normal:wgpu-> wgpu@24.0.5 -normal:hal-> wgpu-hal@24.0.4 -normal:naga-> naga@24.0.0 -normal:indexmap-> indexmap@2.14.0. Observed unit contexts: HOST_BUILD_DEPENDENCY,HOST_PROC_MACRO_SUPPORT,TARGET_LINKED_RUNTIME.		PASS
itoa	1.0.18	rust-package	https://crates.io/crates/itoa/1.0.18	MIT OR Apache-2.0	MIT	licenses/itoa-1.0.18-LICENSE-MIT-MIT-53a6772532-23f18e03dc49.txt	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_audio-> mcraw4vulkan-audio@0.1.0 -normal:mcraw4vulkan_mcrawcontainer-> mcraw4vulkan-mcrawcontainer@0.1.0 -normal:serde_json-> serde_json@1.0.151 -normal:itoa-> itoa@1.0.18. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
jiff	0.2.35	rust-package	https://crates.io/crates/jiff/0.2.35	Unlicense OR MIT	MIT	licenses/jiff-0.2.35-COPYING-NOTICE-e51ef4b4ac-01c266bced4a.txt	licenses/jiff-0.2.35-COPYING-NOTICE-e51ef4b4ac-01c266bced4a.txt	01c266bced4a434da0051174d6bee16a4c82cf634e2679b6155d40d75012390f	licenses/jiff-0.2.35-COPYING-NOTICE-e51ef4b4ac-01c266bced4a.txt	arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_fuse-> mcraw4vulkan-fuse@0.1.0 -normal:jiff-> jiff@0.2.35. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
jiff	0.2.35	rust-package	https://crates.io/crates/jiff/0.2.35	Unlicense OR MIT	MIT	licenses/jiff-0.2.35-LICENSE-MIT-MIT-84c2c65344-0f96a83840e1.txt	licenses/jiff-0.2.35-LICENSE-MIT-MIT-84c2c65344-0f96a83840e1.txt	0f96a83840e146e43c0ec96a22ec1f392e0680e6c1226e6f3ba87e0740af850f		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_fuse-> mcraw4vulkan-fuse@0.1.0 -normal:jiff-> jiff@0.2.35. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
jiff-core	0.1.0	rust-package	https://crates.io/crates/jiff-core/0.1.0	Unlicense OR MIT	MIT	licenses/jiff-core-0.1.0-COPYING-NOTICE-1e1dcad8d2-01c266bced4a.txt	licenses/jiff-0.2.35-COPYING-NOTICE-e51ef4b4ac-01c266bced4a.txt	01c266bced4a434da0051174d6bee16a4c82cf634e2679b6155d40d75012390f	licenses/jiff-0.2.35-COPYING-NOTICE-e51ef4b4ac-01c266bced4a.txt	arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_fuse-> mcraw4vulkan-fuse@0.1.0 -normal:jiff-> jiff@0.2.35 -normal:jcore-> jiff-core@0.1.0. Observed unit contexts: HOST_PROC_MACRO_SUPPORT,TARGET_LINKED_RUNTIME.		PASS
jiff-core	0.1.0	rust-package	https://crates.io/crates/jiff-core/0.1.0	Unlicense OR MIT	MIT	licenses/jiff-core-0.1.0-LICENSE-MIT-MIT-6f71cc7795-0f96a83840e1.txt	licenses/jiff-0.2.35-LICENSE-MIT-MIT-84c2c65344-0f96a83840e1.txt	0f96a83840e146e43c0ec96a22ec1f392e0680e6c1226e6f3ba87e0740af850f		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_fuse-> mcraw4vulkan-fuse@0.1.0 -normal:jiff-> jiff@0.2.35 -normal:jcore-> jiff-core@0.1.0. Observed unit contexts: HOST_PROC_MACRO_SUPPORT,TARGET_LINKED_RUNTIME.		PASS
jiff-static	0.2.35	rust-package	https://crates.io/crates/jiff-static/0.2.35	Unlicense OR MIT	NOT_SELECTED						TARGET_NOT_APPLICABLE		The proc-macro package is locked through Jiff's deliberately impossible cfg(any()) dependency, but the release feature set does not enable static-tz. Stable feature-resolved Cargo trees for all four targets and 547 Linux rustc invocations contain no jiff-static unit, so no generated material enters an artifact.	PASS
jiff-tzdb	0.1.8	rust-package	https://crates.io/crates/jiff-tzdb/0.1.8	Unlicense OR MIT	MIT	licenses/jiff-tzdb-0.1.8-COPYING-NOTICE-0036e6f1fc-01c266bced4a.txt	licenses/jiff-0.2.35-COPYING-NOTICE-e51ef4b4ac-01c266bced4a.txt	01c266bced4a434da0051174d6bee16a4c82cf634e2679b6155d40d75012390f	licenses/jiff-0.2.35-COPYING-NOTICE-e51ef4b4ac-01c266bced4a.txt	windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_fuse-> mcraw4vulkan-fuse@0.1.0 -normal:jiff-> jiff@0.2.35 -normal:jiff_tzdb_platform-> jiff-tzdb-platform@0.1.3 -normal:jiff_tzdb-> jiff-tzdb@0.1.8. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
jiff-tzdb	0.1.8	rust-package	https://crates.io/crates/jiff-tzdb/0.1.8	Unlicense OR MIT	MIT	licenses/jiff-tzdb-0.1.8-LICENSE-MIT-MIT-c1634fc429-0f96a83840e1.txt	licenses/jiff-0.2.35-LICENSE-MIT-MIT-84c2c65344-0f96a83840e1.txt	0f96a83840e146e43c0ec96a22ec1f392e0680e6c1226e6f3ba87e0740af850f		windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_fuse-> mcraw4vulkan-fuse@0.1.0 -normal:jiff-> jiff@0.2.35 -normal:jiff_tzdb_platform-> jiff-tzdb-platform@0.1.3 -normal:jiff_tzdb-> jiff-tzdb@0.1.8. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
jiff-tzdb-platform	0.1.3	rust-package	https://crates.io/crates/jiff-tzdb-platform/0.1.3	Unlicense OR MIT	MIT	licenses/jiff-tzdb-platform-0.1.3-COPYING-NOTICE-6a4f319254-01c266bced4a.txt	licenses/jiff-0.2.35-COPYING-NOTICE-e51ef4b4ac-01c266bced4a.txt	01c266bced4a434da0051174d6bee16a4c82cf634e2679b6155d40d75012390f	licenses/jiff-0.2.35-COPYING-NOTICE-e51ef4b4ac-01c266bced4a.txt	windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_fuse-> mcraw4vulkan-fuse@0.1.0 -normal:jiff-> jiff@0.2.35 -normal:jiff_tzdb_platform-> jiff-tzdb-platform@0.1.3. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
jiff-tzdb-platform	0.1.3	rust-package	https://crates.io/crates/jiff-tzdb-platform/0.1.3	Unlicense OR MIT	MIT	licenses/jiff-tzdb-platform-0.1.3-LICENSE-MIT-MIT-9e2522b5da-0f96a83840e1.txt	licenses/jiff-0.2.35-LICENSE-MIT-MIT-84c2c65344-0f96a83840e1.txt	0f96a83840e146e43c0ec96a22ec1f392e0680e6c1226e6f3ba87e0740af850f		windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_fuse-> mcraw4vulkan-fuse@0.1.0 -normal:jiff-> jiff@0.2.35 -normal:jiff_tzdb_platform-> jiff-tzdb-platform@0.1.3. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
jni-sys	0.3.1	rust-package	https://crates.io/crates/jni-sys/0.3.1	MIT OR Apache-2.0	NOT_SELECTED						TARGET_NOT_APPLICABLE		Locked for another target/optional graph but unreachable from production or dev roots on the four audited release targets. License expression verified from locally cached exact crate source jni-sys-0.3.1.	PASS
jni-sys	0.4.1	rust-package	https://crates.io/crates/jni-sys/0.4.1	MIT OR Apache-2.0	NOT_SELECTED						TARGET_NOT_APPLICABLE		Locked for another target/optional graph but unreachable from production or dev roots on the four audited release targets. License expression verified from locally cached exact crate source jni-sys-0.4.1.	PASS
jni-sys-macros	0.4.1	rust-package	https://crates.io/crates/jni-sys-macros/0.4.1	MIT OR Apache-2.0	NOT_SELECTED						TARGET_NOT_APPLICABLE		Locked for another target/optional graph but unreachable from production or dev roots on the four audited release targets. License expression verified from locally cached exact crate source jni-sys-macros-0.4.1.	PASS
js-sys	0.3.103	rust-package	https://crates.io/crates/js-sys/0.3.103	MIT OR Apache-2.0	NOT_SELECTED						TARGET_NOT_APPLICABLE		Locked for another target/optional graph but unreachable from production or dev roots on the four audited release targets. License expression verified from locally cached exact crates.io archive js-sys-0.3.103.crate.	PASS
khronos-egl	6.0.0	rust-package	https://crates.io/crates/khronos-egl/6.0.0	MIT/Apache-2.0	MIT	licenses/khronos-egl-6.0.0-LICENSE-MIT-MIT-b238111921-23f18e03dc49.txt	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		arch-x86_64,el10-x86_64,fedora44-x86_64,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Effective target-unit closure from cargo tree --edges normal,no-proc-macro retains this package for exactly: arch-x86_64,el10-x86_64,fedora44-x86_64,ubuntu-amd64,windows-x64. Inactive optional, proc-macro, and build-only edges are excluded.		PASS
khronos_api	3.1.0	rust-package	https://crates.io/crates/khronos_api/3.1.0	Apache-2.0	Apache-2.0	licenses/khronos_api-3.1.0-LICENSE-Apache-2_0-33bdcf7e06-cfc7749b96f6.txt	licenses/gl_generator-0.14.0-LICENSE-Apache-2_0-33bdcf7e06-cfc7749b96f6.txt	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30		windows-x64	TARGET_EMBEDDED_GENERATED_MATERIAL	Generated-material proof: khronos_api-3.1.0/src/lib.rs;glutin_wgl_sys-0.6.1/build.rs produces Khronos WGL XML registry data; target inclusion: gl_generator Registry emits wgl_bindings.rs and wgl_extra_bindings.rs included by glutin_wgl_sys; evidence: khronos_api exposes WGL_XML via include_bytes!; gl_generator parses it and generates target bindings.		PASS
